Name,Definition,Examples,
Accelerator,IP dedicated to offload a specific workload to enhance performance,"DSP, TPU, packet processing, mathematical, compression",
Analog & Mixed-Signal,"IP that controls or senses the electricals for communication, which receives or transmits signals conditioned outside of a system's digital domain","PHY, ADC, DAC",
Audio/Video,IP designed to manipulate audio/video data,"Coders/Decoders, speech recognition, format converters",
Bus/Interface,IP implementing an interconnect among elements in and/or within a computing system,"I2C, PCIe, DDR, MMC, USB, GPIO, AXI",
Communications,IP designed to transmit/receive information,"Modulator/Demodulator, 802.11, Bluetooth, CDMA/GSM",
Controllers,"A circuit hard-wired (e.g. Finite State Machine) to react in a closed-loop control system or other limited context, to control another entity","Arbiter, APIC, USB, Peripheral, Memory, Storage",
Counter/Timer,IP reflecting the passage of time in oscillations or human units,"Real Time Clock, Watchdog, Monotonic Counter",
Memories,Volatile (transient) data storage,"DRAM, SRAM",
Microcontroller,A specialized processor acting as a programmable controller,"8051, Nios",
Power Management,IP which controls and/or monitors the power state of a system,"Voltage regulators, power controllers or monitors",
Processors,A programmable computing engine,"CPU, GPU, TPU",
Security,IP designed to protect assets,"Cryptography, authorization, tamper detection, access controls, RNG",
Storage,Non-volatile (permanent) data storage,"EEPROM, eFuse, flash, ROM, OTP, NVRAM",
Test/Debug,IP designed to verify functionality and identify root cause of defects,"JTAG, BIST, boundary scan, pattern generator",
Transducers,"IP which converts energy from one form to another, such as physical to electrical","Sensors, actuators",
